part_id,condition,basis,price,currency,source,observed_date,sample_size,note
intel-core-i7-7700,used,sold,40,GBP,operator-purchase,2026-09-02,1,"bought by the operator; retail-style listings still show this part near its launch price"
memory.DDR5.32,new,retail,336.99,GBP,amazon-uk,2026-09-02,1,"cheapest 32GB (2x16) DDR5-6000 CL30 kit listed on Amazon UK search results; retailer pages are egress-blocked from this environment, figure read from the listing as indexed"
memory.DDR5.32,new,retail,344.99,GBP,amazon-uk,2026-09-02,1,"Corsair Vengeance CMK32GX5M2B6000Z30 non-RGB, Amazon UK listing as indexed"
nvidia-geforce-gtx-970,used,asking,52,GBP,bestvaluegpu-uk-tracker,2026-09-02,1,"UK used average quoted by the bestvaluegpu price tracker (GBP 51.66) as surfaced in search results; the tracker page itself is egress-blocked so whether it aggregates sold or listed prices could not be confirmed, hence basis=asking, which discounts it rather than risk overstating"
nvidia-geforce-rtx-5080,new,retail,1180,GBP,gpupricehistory-uk,2026-09-02,1,"UK figure from the gpupricehistory tracker (stated 'updated Aug 2026') as surfaced in search results; the tracker page itself is egress-blocked so the figure could not be read on the page. Retail listing price, not a sale."
nvidia-geforce-rtx-5070-ti,new,retail,993,GBP,gpupricehistory-uk,2026-09-02,1,"UK figure from the gpupricehistory tracker (stated 'updated Aug 2026') as surfaced in search results; the tracker page itself is egress-blocked so the figure could not be read on the page. Retail listing price, not a sale."
nvidia-geforce-rtx-5070,new,retail,541,GBP,gpupricehistory-uk,2026-09-02,1,"UK figure from the gpupricehistory tracker (stated 'updated Aug 2026') as surfaced in search results; the tracker page itself is egress-blocked so the figure could not be read on the page. Retail listing price, not a sale."
amd-radeon-rx-9070,new,retail,557,GBP,gpupricehistory-uk,2026-09-02,1,"UK figure from the gpupricehistory tracker (stated 'updated Aug 2026') as surfaced in search results; the tracker page itself is egress-blocked so the figure could not be read on the page. Retail listing price, not a sale."
amd-ryzen-7-7800x3d,new,retail,240,GBP,idealo-uk,2026-09-02,1,"UK price-comparison figure (from GBP 239.95) surfaced in search results; the comparison page is egress-blocked so it could not be read directly. Lowest listed retail, not a sale."
amd-ryzen-5-5600,new,retail,114,GBP,idealo-uk,2026-09-02,1,"UK price-comparison figure surfaced in search results (idealo.co.uk 'from' price); the comparison page is egress-blocked so it could not be read directly. Lowest listed retail, not a sale."
amd-ryzen-7-5800x3d,new,retail,309,GBP,idealo-uk,2026-09-02,1,"UK price-comparison figure surfaced in search results (idealo.co.uk 'from' price); the comparison page is egress-blocked so it could not be read directly. Lowest listed retail, not a sale."
amd-ryzen-7-5800x,new,retail,178,GBP,idealo-uk,2026-09-02,1,"UK price-comparison figure surfaced in search results (idealo.co.uk 'from' price); the comparison page is egress-blocked so it could not be read directly. Lowest listed retail, not a sale."
amd-ryzen-9-7900,new,retail,281,GBP,idealo-uk,2026-09-02,1,"UK price-comparison figure surfaced in search results (idealo.co.uk 'from' price); the comparison page is egress-blocked so it could not be read directly. Lowest listed retail, not a sale."
amd-ryzen-9-9900x,new,retail,300,GBP,idealo-uk,2026-09-02,1,"UK price-comparison figure surfaced in search results (idealo.co.uk 'from' price); the comparison page is egress-blocked so it could not be read directly. Lowest listed retail, not a sale."
nvidia-geforce-gtx-1060-6gb,used,asking,94,GBP,koukan-uk-used-gpu-guide,2026-09-02,1,"UK used LISTING price (around GBP 94.49) quoted in a used-GPU guide surfaced by search; the page is egress-blocked so it could not be read directly. Listed, not sold, hence basis=asking."
